"filename", "language", "JSON with Comments", "JavaScript", "TypeScript", "JSON", "YAML", "XML", "TypeScript JSX", "PostCSS", "Docker", "comment", "blank", "total"
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/components/ResetAdminPasswordDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 179, 0, 0, 2, 19, 200
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/components/SearchAndStatusFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 76, 0, 0, 4, 8, 88
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/components/StatisticsTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 160, 0, 0, 5, 11, 176
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/components/StudentsTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 4, 78
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/components/StudentsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 6, 132
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/components/SupervisorActivityDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 200, 0, 0, 1, 16, 217
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/components/SupervisorsTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 4, 84
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/components/SupervisorsTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 5, 144
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/components/SystemStatusCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 4, 46
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/components/TabsContainer.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 4, 136
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/components/TopStudentsCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 5, 67
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/components/UserHoursDialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 348, 0, 0, 9, 18, 375
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/components/index.ts", "TypeScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 37
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/debug/loading.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/debug/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 368, 0, 0, 4, 16, 388
"/Users/spurshdeshpande/Documents/code/hours-frontend-next/app/admin/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 1, 59
